123,2014,07,08,15,40,0,0.00502,0.01985,0.00573,0.00599,0.00376,0.00420,0.00397,0.00368,0.00477,0.00391,0.00405,0.00378,0.00378,0.00375,0.00424,0.00370,0.00376,0.00422,0.00399,0.00377,0.00394,0.00385,0.00448,0.00387,0.00368,0.00369,0.00372,0.00375,0.00373,0.00408,0.00366,0.00433,0.00335,0.00328,0.00323,0.00332,0.00327,0.00364,0.00348,0.00398,0.00359,0.00447,0.00376,0.00475,0.00364,0.00363,0.00392,0.00391537
123,2014,07,10,19,36,0,0.00294,0.01434,0.00354,0.02283,0.00672,0.00586,0.00390,0.00691,0.00484,0.00383,0.00269,0.00256,0.00413,0.00508,0.00344,0.00309,0.00639,0.00453,0.00462,0.00643,0.00390,0.00447,0.00305,0.00374,0.00473,0.00543,0.00410,0.00559,0.00274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00949,0.00294,0.00377,0.00411,0.00576,0.00334,0.00333,0.00878,0.01892257
123,2014,07,12,23,00,0,0.00295,0.00293,0.00289,0.00400,0.00254,0.00259,0.00324,0.00274,0.00247,0.00243,0.00244,0.00315,0.00385,0.00429,0.00252,0.00255,0.00252,0.00245,0.00321,0.00274,0.00321,0.00282,0.00264,0.00289,0.00269,0.00259,0.00406,0.00337,0.00318,0.00321,0.00376,0.00278,0.00272,0.00333,0.00935,0.00891,0.00435,0.01030,0.00244,0.00241,0.00247,0.00254,0.00357,0.00709,0.00240,0.00238,0.00316,0.00336364
137,2014,07,01,11,29,0,0.00281,0.00397,0.00259,0.00268,0.00661,0.00240,0.00252,0.00250,0.00260,0.00258,0.00237,0.00241,0.00265,0.00253,0.00253,0.00318,0.00253,0.00293,0.00281,0.00268,0.00271,0.00248,0.00916,0.00299,0.00304,0.00621,0.00280,0.00303,0.00294,0.00319,0.00306,0.00448,0.00267,0.00271,0.00297,0.00278,0.00316,0.00259,0.00254,0.00292,0.00253,0.00244,0.00253,0.00242,0.01213,0.00899,0.02818,0.00924369
137,2014,07,03,17,00,1,0.00428,0.00617,0.00858,0.01100,0.00480,0.00427,0.00542,0.00459,0.00635,0.00717,0.00687,0.00488,0.00658,0.00614,0.00544,0.00466,0.00548,0.01162,0.00680,0.00653,0.00928,0.00684,0.00643,0.00733,0.00634,0.00929,0.00626,0.00476,0.00502,0.00463,0.00489,0.00531,0.00532,0.00541,0.00829,0.00485,0.00526,0.00511,0.00470,0.00450,0.00481,0.00572,0.00920,0.00554,0.00481,0.00620,0.00514,0.00498636
137,2014,07,04,14,45,1,0.00288,0.00319,0.00307,0.00288,0.00286,0.00274,0.00281,0.00275,0.00254,0.00261,0.00323,0.00304,0.00349,0.00331,0.00271,0.00315,0.00391,0.00370,0.00320,0.00347,0.00452,0.00276,0.00974,0.01121,0.00275,0.00269,0.00293,NaN,NaN,0.00325,0.00259,0.00277,0.00252,0.00255,0.00249,0.00250,0.00274,0.00264,0.00311,0.00292,0.00302,0.00257,0.01562,0.00662,0.00544,0.00437,0.00310,0.00446844
137,2014,07,05,16,31,1,0.00246,0.00238,0.00235,0.00237,0.00228,0.00229,0.00225,0.00226,0.00230,0.00227,0.00238,0.00226,0.00227,0.00226,0.00227,0.00227,0.00250,0.00231,0.00235,0.00230,0.00230,0.00247,0.00255,0.00228,0.00227,0.00227,0.00230,0.00230,0.00239,0.00234,0.00231,NaN,NaN,0.00291,0.00690,0.00448,0.00313,0.00468,0.00379,0.00480,0.00255,0.00296,0.00718,0.00380,0.00331,0.00248,0.00255,0.00236872
137,2014,07,06,22,15,1,0.00253,0.00256,0.00264,0.00249,0.00260,0.00241,0.00255,0.00248,0.00286,0.00267,0.00270,0.00266,0.00274,0.00269,0.00268,0.00255,0.00257,0.00249,0.00381,0.00249,0.00258,0.00261,0.00252,0.00252,0.00306,0.00279,0.00272,0.00316,0.00291,0.00312,0.00294,0.00277,0.00262,0.00416,0.00281,0.00246,0.00306,0.01095,0.00262,0.00280,0.00828,0.00911,0.00478,0.00250,0.01029,0.00252,0.00475,0.00255198
137,2014,07,07,19,41,1,0.00399,0.00379,0.00551,0.00400,0.00303,0.00528,0.00436,0.00357,0.00336,0.00323,0.00346,0.00339,0.00356,0.00367,0.00351,0.00338,0.00372,0.00352,0.00369,0.00370,0.00363,0.00356,0.00360,0.00375,0.00381,0.00362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00553,0.00282,0.00322,0.00766,0.00295,0.00925,0.00334,0.00441,0.00749375
14,2014,06,28,13,47,0,0.00771,0.00565,0.00383,0.00497,0.00369,0.00772,0.00345,0.00418,0.00374,0.00373,0.00377,0.00391,0.00343,0.00429,0.00351,0.00394,0.00348,0.00902,0.00381,0.00349,0.00336,0.00396,0.00369,NaN,NaN,NaN,NaN,0.00636,0.00413,0.00415,0.00375,0.00373,0.00376,0.00373,0.00367,0.00374,0.00764,0.00621,0.00368,0.00354,0.00393,0.00320,0.00719,0.00657,0.00370,0.00389,0.00643,0.00405311
