123,2014,07,08,15,40,0,0.01279,0.00488,0.00409,0.00422,0.00398,0.00378,0.00399,0.00373,0.00410,0.00385,0.00417,0.00377,0.00371,0.00374,0.00387,0.00384,0.00326,0.00330,0.00356,0.00379,0.00411,0.00420,0.00378,0.00446654
123,2014,07,10,19,36,0,0.00894,0.01478,0.00488,0.00587,0.00326,0.00334,0.00426,0.00474,0.00458,0.00517,0.00376,0.00424,0.00477,0.00894,0.04404,NaN,NaN,NaN,NaN,0.00621,0.00394,0.00455,0.00605,0.01093010
123,2014,07,12,23,00,0,0.00294,0.00345,0.00257,0.00299,0.00245,0.00279,0.00407,0.00253,0.00248,0.00298,0.00301,0.00276,0.00264,0.00372,0.00320,0.00327,0.00302,0.00913,0.00732,0.00242,0.00250,0.00533,0.00239,0.00326164
137,2014,07,01,11,29,0,0.00339,0.00264,0.00450,0.00251,0.00259,0.00239,0.00259,0.00286,0.00273,0.00274,0.00260,0.00607,0.00462,0.00292,0.00307,0.00377,0.00269,0.00288,0.00287,0.00273,0.00249,0.00247,0.01056,0.01871412
137,2014,07,03,17,00,1,0.00522,0.00979,0.00454,0.00500,0.00676,0.00587,0.00636,0.00505,0.00855,0.00667,0.00806,0.00688,0.00781,0.00551,0.00482,0.00510,0.00537,0.00657,0.00518,0.00460,0.00526,0.00737,0.00550,0.00506411
137,2014,07,04,14,45,1,0.00313,0.00287,0.00277,0.00265,0.00292,0.00326,0.00301,0.00353,0.00345,0.00399,0.00625,0.00698,0.00280,NaN,0.00292,0.00264,0.00252,0.00262,0.00288,0.00297,0.00910,0.00603,0.00373,0.00367322
137,2014,07,05,16,31,1,0.00237,0.00233,0.00227,0.00228,0.00233,0.00226,0.00226,0.00238,0.00233,0.00230,0.00251,0.00227,0.00228,0.00234,0.00233,NaN,0.00491,0.00381,0.00424,0.00367,0.00507,0.00355,0.00251,0.00241387
137,2014,07,06,22,15,1,0.00255,0.00256,0.00250,0.00252,0.00276,0.00268,0.00272,0.00261,0.00253,0.00315,0.00259,0.00252,0.00293,0.00294,0.00301,0.00286,0.00339,0.00263,0.00700,0.00271,0.00870,0.00364,0.00640,0.00364971
137,2014,07,07,19,41,1,0.00465,0.00351,0.00482,0.00347,0.00334,0.00347,0.00359,0.00355,0.00361,0.00366,0.00358,0.00378,0.00362,NaN,NaN,NaN,NaN,NaN,NaN,0.00417,0.00544,0.00610,0.00388,0.00574357
14,2014,06,28,13,47,1,0.00474,0.00433,0.00559,0.00396,0.00375,0.00367,0.00390,0.00371,0.00641,0.00342,0.00532,NaN,NaN,0.00525,0.00395,0.00375,0.00370,0.00569,0.00494,0.00374,0.00520,0.00514,0.00516,0.00588387
