@relation 'Average absolute amplitude over 1 hour interval-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,1'

@attribute Interval1 numeric
@attribute Interval2 numeric
@attribute Interval3 numeric
@attribute Interval4 numeric
@attribute Interval5 numeric
@attribute Interval6 numeric
@attribute Interval7 numeric
@attribute Interval8 numeric
@attribute Interval9 numeric
@attribute Interval10 numeric
@attribute Interval11 numeric
@attribute Interval12 numeric
@attribute Interval13 numeric
@attribute Interval14 numeric
@attribute Interval15 numeric
@attribute Interval16 numeric
@attribute Interval17 numeric
@attribute Interval18 numeric
@attribute Interval19 numeric
@attribute Interval20 numeric
@attribute Interval21 numeric
@attribute Interval22 numeric
@attribute Interval23 numeric
@attribute Interval24 numeric
@attribute class {0,1}

@data
0.00503,0.00329,0.00321,0.00316,0.00326,0.00322,0.00314,0.00309,0.00307,0.00337,0.00428,0.0047,0.00464,0.00764,?,?,?,0.00301,0.00302,0.00393,0.00427,0.00416,0.00972,0.005859,1
0.00345,0.00344,0.00345,0.00345,0.0049,0.00313,0.00321,0.00343,0.00342,0.00341,0.00345,0.00349,0.0036,0.00355,0.00361,0.00356,0.00501,0.00405,0.0033,0.00366,0.00339,0.00619,0.01093,0.00312,1
0.00293,0.00271,0.00429,0.00421,0.00266,0.00279,0.00278,0.00294,0.00287,0.00278,0.00308,0.01824,?,?,?,?,0.00389,0.00275,0.00284,0.00274,0.00274,0.00276,0.00595,0.005213,0
0.00291,0.00325,0.00417,0.00356,0.00289,0.00305,0.00316,0.00314,0.00301,0.00398,0.00273,0.00294,0.00331,0.00612,?,?,?,0.00262,0.00242,0.00456,0.00298,0.00273,0.00452,0.006057,0
0.00236,0.00261,0.00408,0.0027,0.00281,0.00244,0.00255,0.00249,0.0027,0.00284,0.00239,0.00247,0.01228,?,?,?,0.00268,0.0024,0.00243,0.00235,0.00243,0.00411,0.00363,0.004341,1
0.00245,0.00239,0.00234,0.0024,0.00235,0.0025,0.00234,0.00235,0.00234,0.00242,0.00246,0.00237,0.0024,0.00846,?,?,?,0.00235,0.00235,0.0025,0.00236,0.00235,0.00264,0.004094,1
0.00356,0.00242,0.00265,0.00284,0.00347,0.00261,0.00291,0.00229,0.00234,0.00231,0.00232,0.00232,0.00233,0.00235,0.00233,0.00234,0.00234,0.0058,0.00251,0.00426,0.00287,0.0025,0.00355,0.005453,1
0.00494,0.00443,0.00301,0.00556,0.00275,0.00272,0.00437,0.00261,0.0046,0.0027,0.00286,0.02307,?,?,?,?,0.00261,0.00244,0.00257,0.00491,0.00243,0.00452,0.00446,0.005791,0
0.00843,0.0051,0.00441,0.00234,0.00287,0.00241,0.00241,0.00237,0.00249,0.0026,0.00254,0.00272,0.00243,0.01462,?,?,?,0.00271,0.00267,0.0027,0.00343,0.00287,0.00846,0.010615,0
0.00241,0.00235,0.00242,0.00259,0.00245,0.00243,0.00242,0.00257,0.00253,0.00248,0.00245,0.00302,0.01555,0.14223,?,?,?,0.00314,0.00232,0.00252,0.00337,0.00246,0.00251,0.009648,1
0.00956,0.0094,0.01121,0.01052,0.00935,0.00976,0.01104,0.00707,0.00666,0.00699,0.00841,0.0063,0.00665,0.00827,0.00636,0.00671,0.03372,0.01307,0.01202,0.01567,0.01582,0.01678,0.01292,0.009644,1
0.00471,0.00831,0.00626,0.00514,0.00483,0.00565,0.00536,0.00433,0.00425,0.00475,0.00416,0.00422,0.00396,0.00406,0.0049,0.00499,0.00598,0.00697,0.00472,0.00818,0.01203,0.00472,0.00455,0.004994,1
